Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Car_Age
3,Maruti Ertiga VDI,Chennai,2012,87000,First,20.77,1248.0,88.76,7.0,6.0,False,False,True,False,False,True,13
6,Nissan Micra Diesel XV,Jaipur,2013,86999,First,23.08,1461.0,63.1,5.0,3.5,False,False,True,False,False,True,12
8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,First,20.54,1598.0,103.6,5.0,5.2,False,False,True,False,False,True,12
9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Second,22.3,1248.0,74.0,5.0,1.95,False,False,True,False,False,True,13
10,Maruti Ciaz Zeta,Kochi,2018,25692,First,21.56,1462.0,103.25,5.0,9.95,False,True,True,False,True,True,7
12,Maruti Swift VDI BSIV,Jaipur,2015,64424,First,25.2,1248.0,74.0,5.0,5.6,False,False,True,False,False,True,10
16,Honda Amaze S i-Dtech,Kochi,2016,58950,First,25.8,1498.0,98.6,5.0,5.4,False,False,True,False,False,True,9
17,Maruti Swift DDiS VDI,Jaipur,2017,25000,First,28.4,1248.0,74.0,5.0,5.99,False,False,True,False,False,True,8
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,First,20.45,1461.0,83.8,5.0,6.34,False,False,True,False,False,True,11
20,BMW 3 Series 320d,Kochi,2014,32982,First,22.69,1995.0,190.0,5.0,18.55,False,False,False,False,False,False,11
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Second,23.65,1248.0,88.5,5.0,8.25,False,False,True,False,False,True,10
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Second,20.92,998.0,67.1,5.0,2.75,False,True,True,False,True,True,12
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,24.3,1248.0,88.5,5.0,8.63,False,False,True,False,False,True,7
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,First,22.07,1199.0,73.9,5.0,5.0,False,False,True,False,False,True,12
41,Tata Nano LX SE,Kochi,2014,19698,First,25.4,624.0,37.5,4.0,1.53,False,True,True,False,True,True,11
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,First,25.32,1198.0,77.0,6.0,5.58,False,False,True,False,False,True,8
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,First,24.4,1120.0,71.0,5.0,3.85,False,False,True,False,False,True,11
51,Maruti Swift LDI,Delhi,2014,52000,First,22.9,1248.0,74.0,5.0,4.25,False,False,True,False,False,True,11
53,Maruti Swift VDI,Delhi,2013,65650,First,28.4,1248.0,74.0,5.0,3.85,False,False,True,False,False,True,12
56,Renault KWID RXT,Kochi,2017,16542,First,25.17,799.0,53.3,5.0,3.3,False,True,True,False,True,True,8
57,Hyundai i10 Asta,Kolkata,2010,32000,First,20.36,1197.0,78.9,5.0,2.07,False,True,True,False,True,True,15
64,Tata Indica V2 eLS,Chennai,2016,178000,First,25.0,1396.0,69.0,5.0,2.5,False,False,True,False,False,True,9
68,Maruti Ertiga SHVS VDI,Pune,2016,63000,First,24.52,1248.0,88.5,7.0,8.15,False,False,True,False,False,True,9
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,22.1,1396.0,88.7,5.0,10.5,False,False,True,False,False,True,7
80,Maruti Swift VDI,Jaipur,2012,95100,First,22.9,1248.0,74.0,5.0,3.75,False,False,True,False,False,True,13
84,Maruti Ritz VDi,Jaipur,2013,99638,First,23.2,1248.0,73.94,5.0,3.11,False,False,True,False,False,True,12
87,Hyundai i10 Sportz 1.2,Pune,2009,95980,First,20.36,1197.0,78.9,5.0,2.25,False,True,True,False,True,True,16
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,First,22.7,1498.0,89.84,5.0,5.5,False,False,True,False,False,True,12
95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,First,25.8,1498.0,98.6,5.0,3.5,False,False,True,False,False,True,10
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,First,22.07,1199.0,73.9,5.0,2.79,False,False,True,False,False,True,12
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Second,23.0,1396.0,90.0,5.0,3.8,False,False,True,False,False,True,14
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,First,22.32,1582.0,126.32,5.0,5.25,False,False,False,False,False,False,11
112,Tata Nano Twist XT,Bangalore,2014,25500,First,25.4,624.0,37.5,4.0,2.15,False,True,True,False,True,True,11
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,First,22.69,1995.0,190.0,5.0,20.75,False,False,False,False,False,False,10
116,Volvo V40 Cross Country D3,Bangalore,2014,32700,First,23.3,1984.0,150.0,5.0,20.0,False,False,False,False,False,False,11
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,First,24.3,1248.0,88.5,5.0,7.5,False,False,True,False,False,True,9
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,First,22.0,1582.0,126.2,5.0,10.95,False,False,True,False,False,True,7
124,Tata Nano XTA,Coimbatore,2017,32684,First,21.9,624.0,37.48,4.0,3.23,False,True,False,False,True,False,8
